id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
302121979,2025-07-29,Arum cylindraceum,áron alpínsky,Plantae,"090 05 Nižný Komárnik, Slovensko",49.3798901513,21.7177494988,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/302121979?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544855506/small.jpg
302065522,2025-07-29,Calocera viscosa,Parôžkovec lepkavý,Fungi,"Nižný Komárnik 26, 090 05 Nižný Komárnik, Slovensko",49.3808418359,21.7384152487,needs_id,0,Martin Hromada,https://www.inaturalist.org/observations/302065522?locale=sk,https://static.inaturalist.org/photos/544365296/small.jpg
302332006,2025-07-29,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,research,4,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302332006?locale=sk,https://static.inaturalist.org/photos/544860522/small.jpg
303660702,2025-07-29,Leccinellum pseudoscabrum,kozák hrabový,Fungi,"090 05 Šarbov, Slovensko",49.4423783333,21.6208666667,needs_id,0,Branislav Tej,https://www.inaturalist.org/observations/303660702?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547340514/small.jpg
302912315,2025-07-29,Suillellus luridus,hríb siný,Fungi,"Cesta 3539, Nižná Pisaná, Prešovský kraj, SK",49.3891833333,21.6044916667,needs_id,0,Ludka Reiterova,https://www.inaturalist.org/observations/302912315?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545930950/small.jpg
302331779,2025-07-29,Gryllus campestris,svrček poľný,Insecta,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302331779?locale=sk,https://static.inaturalist.org/photos/544860233/small.jpg
302331557,2025-07-29,Melanargia galathea,Očkáň timotejkový,Insecta,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302331557?locale=sk,https://static.inaturalist.org/photos/544859899/small.jpg
302331279,2025-07-29,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302331279?locale=sk,https://static.inaturalist.org/photos/544859390/small.jpg
302331086,2025-07-29,Adscita statices,zelenáčik štiavový,Insecta,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302331086?locale=sk,https://static.inaturalist.org/photos/544858973/small.jpg
302330957,2025-07-29,Plebejus argus,modráčik čiernoobrúbený,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302330957?locale=sk,https://static.inaturalist.org/photos/544858661/small.jpg
302330838,2025-07-29,Dianthus deltoides,klinček slzičkový,Plantae,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302330838?locale=sk,https://static.inaturalist.org/photos/544858362/small.jpg
302911724,2025-07-29,Rutpela maculata,fuzáč škvrnitý,Insecta,"090 05 Vyšný Komárnik, Slovensko",49.4068515,21.7118314997,research,1,,https://www.inaturalist.org/observations/302911724?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545929980/small.jpg
302330727,2025-07-29,Polygonia c-album,babôčka zubatokrídla,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302330727?locale=sk,https://static.inaturalist.org/photos/544858126/small.jpg
302330605,2025-07-29,Brenthis daphne,Perlovec černicový,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302330605?locale=sk,https://static.inaturalist.org/photos/544857905/small.jpg
302312035,2025-07-29,Coccinella septempunctata,lienka sedembodková,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302312035?locale=sk,https://static.inaturalist.org/photos/544857584/small.jpg
302311917,2025-07-29,Maniola jurtina,očkáň lúčny,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302311917?locale=sk,https://static.inaturalist.org/photos/544823829/small.jpg
302311846,2025-07-29,Syrphini,,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302311846?locale=sk,https://static.inaturalist.org/photos/544823701/small.jpg
302311688,2025-07-29,Lycaena virgaureae,ohniváčik zlatobyľový,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302311688?locale=sk,https://static.inaturalist.org/photos/544823400/small.jpg
302122102,2025-07-29,Epipactis,kruštík,Plantae,"090 05 Nižný Komárnik, Slovensko",49.3800604081,21.7370915785,needs_id,3,Martina Hajdukova,https://www.inaturalist.org/observations/302122102?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544855051/small.jpg
302043459,2025-07-29,Rhagonycha fulva,snehuľčík žltý,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302043459?locale=sk,https://static.inaturalist.org/photos/544325035/small.jpg
302329173,2025-07-29,Haemopis sanguisuga,Pijavica veľká,Animalia,"090 05 Nižný Komárnik, Slovensko",49.376990019,21.7169438303,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/302329173?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544855787/small.jpg
